"項目","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2012_平成25年度"
"1.民間最終消費支出_(1)家計最終消費支出_g．交通","5.926570946330385","5.8159987834352","5.826137270976674","6.261920098561184","6.501359088587503","6.301399780516756","6.704525337342212","6.847663330083773","6.722235344484523","6.031399675617688","5.980822775260831","6.05314926837524","6.373794165637962"
"1.民間最終消費支出_(1)家計最終消費支出_h．通信","1.331704859518287","1.2780838859020336","1.2450642351624928","1.7002146083522507","1.6647920216697107","1.6691837946630892","1.7527346097565992","1.8518638215271908","2.0050144913627514","1.888888108070847","1.8795817268329926","1.8669786356233378","1.9836517373670763"
"1.民間最終消費支出_(1)家計最終消費支出_i．娯楽・レジャー・文化","5.843594029121184","5.438658219683734","5.265261943741293","6.175341195067279","5.97634849353717","5.965570302379711","6.142474433453961","6.459187862982109","6.211090309874907","5.66980448188092","5.530871727678196","5.299971134364492","5.509549182523133"
"1.民間最終消費支出_(1)家計最終消費支出_j．教育","1.1239851608494316","1.1851906760822135","1.321632005431709","1.537473481596906","1.4014752220241384","1.4457461885935523","1.4169910305605489","1.4342178425324936","1.0140629272689472","0.7619639975248467","0.7616222534859427","0.7396898646187815","0.7217812161799497"
"1.民間最終消費支出_(1)家計最終消費支出_k．外食・宿泊","4.07878155556201","3.8835685802250794","3.8531864487101193","4.1123220732193575","3.934158161642748","3.9785180594425893","4.181747933441848","4.442753688324707","4.13996678604643","3.773857931534991","3.691404075079142","3.5871923404119954","3.9141295691769806"
"1.民間最終消費支出_(1)家計最終消費支出_l．その他","7.4611459748611955","7.928739145721425","7.740782172153674","8.205858178002925","8.460037949824832","9.007279057305752","8.876942317100449","9.348432191606381","8.715407778320454","7.9442781691620405","7.85729599924137","7.8068598062972265","8.275663829721395"
"","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出_（再掲）","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出_家計最終消費支出(除く持ち家の帰属家賃)","46.92887930211474","46.063509713024956","45.7829963160161","48.77889312891843","48.035996766781594","48.25042825547965","49.604512432886374","52.177690305322464","49.39557210575568","45.05122868424805","44.7213324961332","43.71143373951489","45.88336268004191"
"1.民間最終消費支出_(1)家計最終消費支出_持ち家の帰属家賃","9.454573907528383","9.68023534817517","9.803469302923093","9.964889784100407","9.959954022358385","10.147438297323744","10.545665559515152","11.372758379649968","11.980411585368786","11.357648767424273","11.285837784598392","11.367194929126011","11.33105889976871"
"","","","","","","","","","","","","",""
"1.民間最終消費支出_(2)対家計民間非営利団体最終消費支出","1.2336679535771728","1.1511017908753145","1.2117983241352537","1.1281275702587938","1.5282871803837341","1.5646605101138793","1.4712241301859694","1.4784233123395913","1.5475377876003344","1.5382087481371673","1.6943271613918918","1.8565016828151149","1.8816123049736528"
"","","","","","","","","","","","","",""
"2.政府最終消費支出_(2)対家計民間非営利団体最終消費支出","21.325532668286453","21.81804219125211","21.73779810841013","21.80349358688811","21.16164862205774","20.78645762994067","21.385208771086507","22.71521734666954","23.529776473783855","22.321161158696874","22.484642830047083","22.341777119816626","21.986104154170725"
"","","","","","","","","","","","","",""
"2.政府最終消費支出_(1)国出先機関","1.7905725872489089","1.911165637299183","1.9800046668848243","1.8524863974202512","1.7472269265995797","1.7488383285648759","1.7899940187452805","1.8740787554839426","1.915016282479775","1.7003316725333457","1.654299260362414","1.5783876875788903","1.7253934257495152"
"2.政府最終消費支出_(2)和歌山県","6.337285717406664","6.383468971272757","6.059832570694302","6.129997527561948","5.854102251933188","5.6999156677516","5.796216693838779","6.014618877669831","5.99053787868142","5.632774070568482","5.572939639698298","5.490702726419845","5.192194371399763"
"2.政府最終消費支出_(3)県内市町村","5.472030822890231","5.575712030449496","5.5199307782053255","5.470631661332602","5.208783279983711","4.972991211846379","5.006946430976326","5.247979156646788","5.449355113596265","5.039833114572034","5.101002169913773","4.923759228645781","4.731040352483186"
"2.政府最終消費支出_(4)社会保障基金","7.725643540740649","7.947695552230677","8.178030092625676","8.350378000573308","8.35153616354126","8.364712421777815","8.792051627526122","9.578540556868981","10.174867199026396","9.94822230102301","10.1564017600726","10.348927477172108","10.33747600453826"
"","","","","","","","","","","","","",""
"2.政府最終消費支出_（再掲）","","","","","","","","","","","","",""
"2.政府最終消費支出_家計現実最終消費","69.77326751560278","69.35585888277282","69.36414359971661","72.73907950129478","72.26806782967621","72.70427131284364","74.90499354129376","79.33135206148563","77.83422803637474","72.462991630024","72.3636283403136","71.53183828181314","73.42279799649319"
"2.政府最終消費支出_政府現実最終消費","9.169386315903967","9.35703016055474","9.17191845176796","8.936324568870958","8.417818761905227","8.0447133800143","8.101617352380236","8.412737282495938","8.619069916133926","7.805255728482346","7.822511931856965","7.745069189459501","7.6593400424618014"
"","","","","","","","","","","","","",""
"3.総資本形成","22.876450389020576","23.23032513466117","22.744852878768057","22.012515954944895","20.758481036131123","21.722358172290505","24.012950634300648","23.67636370546703","22.106797817765766","20.5927490242905","23.009584933880863","26.783828257943536","26.08382189875916"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成","22.729495668334526","24.061790963763286","23.34337768211957","22.994832590387738","21.453216937866554","21.913063700276183","24.015873842535907","22.231442327982908","23.0915892809119","21.059951295184177","21.700319797080038","25.030599721546732","26.70378796326826"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_a．民間","13.490327361998814","14.907013370686952","14.174482428659843","14.861828682235986","14.062629331941597","15.810408195695732","17.83658367788104","16.88092863849235","15.242554501073863","14.376357141699728","14.771834634214406","17.042207485119196","16.269982948864982"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_(a)住宅","3.226954224732572","3.0475507594830957","3.0799236149053963","3.1662226869502463","2.944192474803616","2.9403529519279816","2.7611470401004667","2.9020014228628868","2.399722975329203","2.305223356636606","2.3356468798097794","2.452854048170854","2.800550522397884"
"3.総資本形成_(1)総固定資本形成_(b)企業設備","10.26337313726624","11.859462611203856","11.094558813754448","11.695605995285739","11.118436857137985","12.870055243767753","15.075436637780573","13.978927215629463","12.84283152574466","12.071133785063122","12.436187754404624","14.589353436948342","13.469432426467101"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_b．公的","9.239168306335714","9.154777593076334","9.168895253459729","8.133003908151752","7.390587605924956","6.10265550458045","6.1792901646548675","5.3505136894905565","7.849034779838037","6.683594153484451","6.9284851628656305","7.988392236427535","10.433805014403278"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_(a)住宅","0.19922720522537954","0.27354740206406825","0.17788591969646836","0.14535104875067142","0.11142662328346288","0.12234186729391762","0.08575629977439622","0.08777115096637748","0.14765299855268285","0.1185881911992896","0.1275492525274524","0.053753048621826435","0.06302192048953877"
"3.総資本形成_(1)総固定資本形成_(b)企業設備","1.4670415395750587","1.564379723287659","2.100381236987227","2.0384585104242214","1.7012132860708684","0.9338753802431407","0.976059229753269","0.45707610536731846","2.0912104408270578","1.0815672067009419","1.076844465670412","1.367134579385211","1.2701815772259129"
"3.総資本形成_(1)総固定資本形成_(c)一般政府","7.5728995615352765","7.316850467724607","6.890628096776033","5.9491943489768575","5.577947696570624","5.046438257043391","5.117474635127202","4.80566643315686","5.6101713404582965","5.483438755584219","5.724091444667766","6.5675046084204975","9.100601516687826"
"","","","","","","","","","","","","",""
"3.総資本形成_(2)在庫品増加","0.14695472068604729","-0.8314658291021179","-0.5985248033515135","-0.9823166354428403","-0.6947359017354304","-0.19070552798567839","-0.002923208235259865","1.4449213774841212","-0.9847914631461331","-0.46720227089367616","1.3092651368008272","1.7532285363968052","-0.6199660645090999"
"","","","","","","","","","","","","",""
"3.総資本形成_(2)在庫品増加_a．民間企業","0.19096383439050293","-0.8270984023139073","0.32463565814712464","-0.9482580144904681","0.06750971900377299","-0.17443345696629034","0.040526295988829945","1.4654647527421956","-0.9803224406380102","-0.4634620125441623","1.319301977174106","1.7663072690751094","-0.6125848770582383"
"3.総資本形成_(2)在庫品増加_b．公的","-0.04400911370445566","-0.0043674267882105305","-0.9231604614986382","-0.0340586209523721","-0.7622456207392034","-0.01627207101938806","-0.043449504224089816","-0.02054337525807432","-0.004469022508122746","-0.003740258349513772","-0.010036840373278899","-0.01307873267830406","-0.0073811874508616536"
"3.総資本形成_(2)在庫品増加_（公的企業・一般政府）","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"4.財貨･ｻｰﾋﾞｽの移出入(純)・統計上の不突合_(2)在庫品増加","-5.003159100107352","-4.769595752772084","-3.9423569334821345","-7.064586259604518","-4.661975787952553","-5.46446127610811","-11.003305765602386","-13.481338907312457","-11.325323945145078","-4.164702314609158","-6.720259208314491","-9.426837008956563","-10.987450171406806"
"","","","","","","","","","","","","",""
"4.財貨･ｻｰﾋﾞｽの移出入(純)・統計上の不突合_(1)財貨・サ－ビスの移出入(純)","-4.981183086721659","-3.7806472810070866","-3.8954462531221217","-1.7110205182179645","-1.5906970310430943","-1.0288786168471855","-1.407983975330415","-3.584335754427764","-7.292663247589114","-2.067941221513185","-7.156636210155372","-11.115158870515746","-12.325627922491703"
"4.財貨･ｻｰﾋﾞｽの移出入(純)・統計上の不突合_(2)統計上の不突合","-0.021976013385693466","-0.9889484717649971","-0.046910680360012544","-5.353565741386554","-3.071278756909459","-4.435582659260924","-9.59532179027197","-9.897003152884691","-4.032660697555963","-2.096761093095974","0.4363770018408796","1.688321861559184","1.3381777510848976"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"5.(1+2+3+4)県内総生産(支出側､市場価格)_(2)統計上の不突合","96.81594512041997","97.17361842521665","97.3385579967705","96.62333376550612","96.78239183976002","97.00688158904033","96.01625576237225","97.93911414213613","97.23477182512936","96.69629406818771","96.47546599773695","96.63389872025961","96.17850976630736"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"6.県外からの所得(純)","3.1840548795800303","2.8263815747833534","2.661442003229498","3.3766662344938823","3.2176081602399784","2.993118410959662","3.9837442376277425","2.0608858578638594","2.7652281748706495","3.3037059318123","3.5245340022630516","3.3661012797403864","3.821490233692649"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"7.(5+6)県民総所得(市場価格)","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"(1+2+3)(参考)県内需要(注)","101.81910422052731","101.94321417798875","101.28091493025262","103.68792002511064","101.44436762771258","102.47134286514846","107.01956152797464","111.42045304944858","108.56009577027442","100.86099638279684","103.19572520605145","106.06073572921618","107.16595993771416"
