"項目","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2012_平成25年度"
"","","","","","","","","","","","","",""
"1.民間最終消費支出","57.6171211632203","56.89484685207545","56.79826394307446","59.87191048327764","59.52423796952371","59.96252706291727","61.62140212258749","65.02887199731202","62.92352147872481","57.94708619980948","57.7014974421235","56.93513035145602","59.09603388478427"
"1.民間最終消費支出","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出","56.38345320964312","55.74374506120012","55.586465618939194","58.74378291301884","57.99595078913998","58.3978665528034","60.150177992401524","63.55044868497244","61.37598369112447","56.408877451672325","56.0071702807316","55.0786286686409","57.21442157981061"
"","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出_a．食料・非アルコール飲料","9.097039916714309","9.085227846295634","9.031130598370417","8.907359025699755","8.48111238193827","8.45068438003746","8.643440205242056","9.19113708237923","8.739180579187666","8.048426613889387","7.957494487588855","7.7737589303519945","7.853740781926241"
"1.民間最終消費支出_(1)家計最終消費支出_b．アルコール飲料・たばこ","1.9873649773229936","1.8768161542653947","1.8553739165404215","1.9649594332585258","1.9901107994548557","1.8892737256815895","1.9581495622228833","2.0730171557448704","1.7621776467119998","1.6713926654938576","1.7214900446360881","1.5541680963538558","1.5513219335639465"
"1.民間最終消費支出_(1)家計最終消費支出_c．被服・履物","2.2401598921884593","2.0506459534669434","2.025367660140643","2.0004853426846427","1.871121615747827","1.945082317167539","1.985837765921183","2.1217983890532652","2.064221175151099","1.7947433324761675","1.824010855201717","1.8065172547158201","1.9102153827897324"
"1.民間最終消費支出_(1)家計最終消費支出_d．住居・電気・ガス・水道","13.220338190242876","13.371150917911706","13.407650643148347","13.705153650977739","13.66038652555363","13.86329448619305","14.355135177833631","15.463579434935241","16.05225467030644","15.219970284563262","15.083013845266372","15.1570673079576","15.297525563095418"
"1.民間最終消費支出_(1)家計最終消費支出_e．家具・家庭用機器・家事サービス","2.5031071376090583","2.2913552525845","2.4409614234686035","2.6722506573848626","2.6156922117026227","2.525302420783451","2.7372697712656375","2.859873209651603","2.419706808374737","2.168835785014094","2.286281106715218","2.0426342611372106","2.388592781585295"
"1.民間最終消費支出_(1)家計最終消費支出_f．保健・医療","1.5696605693229362","1.5383096456262613","1.5739173010947995","1.5004451682134083","1.439356317456663","1.3565320400388554","1.3949298482605241","1.45692467615157","1.5306651740345205","1.4353164064442274","1.433281383744876","1.3906417684333463","1.4344554362434847"
